iter	Passed	Remaining
0	0	932
1	1	874
2	2	856
3	3	879
4	4	895
5	5	869
6	6	853
7	6	834
8	7	816
9	8	796
10	9	817
11	10	832
12	10	832
13	11	818
14	12	807
15	13	809
16	14	815
17	15	829
18	16	827
19	16	829
20	17	823
21	18	815
22	19	808
23	19	800
24	20	804
25	21	810
26	22	812
27	23	815
28	24	810
29	24	805
30	25	800
31	26	805
32	27	817
33	29	824
34	29	824
35	30	819
36	31	816
37	32	816
38	33	814
39	34	817
40	35	822
41	35	820
42	37	824
43	37	822
44	38	821
45	39	821
46	40	821
47	41	822
48	42	819
49	42	816
50	43	811
51	44	809
52	45	810
53	46	811
54	47	811
55	48	811
56	49	811
57	49	810
58	50	809
59	51	806
60	52	803
61	53	802
62	53	802
63	54	800
64	55	795
65	56	794
66	56	791
67	57	789
68	58	786
69	59	784
70	59	784
71	60	783
72	61	782
73	62	780
74	63	779
75	63	777
76	64	775
77	65	775
78	66	774
79	67	772
80	68	774
81	69	774
82	69	770
83	70	770
84	71	770
85	72	772
86	73	771
87	74	769
88	75	768
89	75	766
90	76	764
91	77	761
92	78	761
93	79	763
94	80	762
95	80	759
96	81	757
97	82	756
98	82	753
99	83	750
100	84	748
101	85	748
102	85	747
103	86	745
104	87	743
105	87	740
106	88	738
107	89	736
108	89	733
109	90	731
110	91	730
111	91	728
112	92	725
113	93	723
114	93	721
115	94	719
116	94	716
117	95	713
118	96	711
119	96	709
120	97	708
121	98	706
122	98	705
123	99	704
124	100	702
125	101	700
126	101	697
127	102	695
128	102	693
129	103	692
130	104	691
131	104	690
132	105	688
133	106	686
134	106	684
135	107	682
136	108	680
137	108	678
138	109	677
139	110	676
140	110	675
141	111	672
142	111	671
143	112	670
144	113	668
145	113	666
146	114	665
147	115	663
148	115	662
149	116	661
150	117	660
151	118	658
152	118	657
153	119	656
154	120	654
155	120	653
156	121	652
157	122	651
158	122	650
159	123	649
160	124	646
161	124	645
162	125	644
163	126	643
164	127	643
165	127	642
166	128	642
167	129	641
168	130	639
169	130	638
170	131	637
171	132	635
172	132	634
173	133	632
174	133	631
175	134	630
176	135	629
177	136	628
178	136	627
179	137	626
180	138	625
181	139	624
182	139	623
183	140	622
184	141	621
185	141	621
186	142	620
187	143	619
188	144	618
189	144	616
190	145	615
191	145	613
192	146	612
193	147	611
194	147	610
195	148	609
196	149	608
197	149	607
198	150	606
199	151	605
200	152	604
201	152	603
202	153	602
203	154	602
204	155	602
205	156	602
206	156	601
207	157	600
208	158	598
209	158	597
210	159	596
211	160	595
212	160	594
213	161	593
214	162	593
215	163	592
216	163	591
217	164	590
218	165	589
219	165	588
220	166	586
221	167	586
222	168	585
223	168	584
224	169	584
225	170	583
226	170	582
227	171	581
228	172	580
229	173	579
230	174	579
231	174	578
232	175	578
233	176	577
234	177	576
235	177	575
236	178	574
237	179	574
238	180	574
239	181	573
240	182	573
241	182	572
242	183	572
243	184	571
244	185	571
245	186	571
246	187	570
247	187	569
248	188	568
249	189	567
250	189	566
251	190	565
252	191	564
253	191	563
254	192	562
255	193	561
256	193	560
257	194	559
258	195	558
259	196	558
260	196	557
261	197	556
262	198	555
263	199	555
264	199	554
265	200	553
266	201	553
267	202	552
268	203	551
269	203	550
270	204	550
271	205	550
272	206	549
273	207	548
274	207	547
275	208	547
276	209	546
277	210	546
278	211	545
279	211	544
280	212	543
281	213	543
282	214	543
283	215	542
284	215	541
285	216	540
286	217	540
287	218	539
288	219	539
289	220	538
290	220	537
291	221	536
292	222	536
293	223	535
294	223	534
295	224	533
296	225	533
297	226	532
298	227	532
299	227	531
300	228	530
301	229	530
302	230	529
303	230	528
304	231	527
305	232	527
306	233	527
307	234	526
308	235	525
309	236	525
310	236	524
311	237	523
312	238	523
313	239	522
314	239	521
315	240	520
316	241	520
317	242	519
318	242	518
319	243	517
320	244	517
321	245	516
322	245	515
323	246	515
324	247	514
325	248	513
326	249	513
327	250	512
328	251	511
329	251	511
330	252	510
331	253	509
332	253	508
333	254	507
334	255	507
335	256	506
336	257	506
337	258	505
338	259	505
339	259	504
340	260	503
341	261	502
342	262	502
343	263	501
344	263	500
345	264	500
346	265	499
347	266	498
348	266	497
349	267	496
350	268	495
351	269	495
352	269	494
353	270	493
354	271	492
355	271	491
356	272	491
357	273	490
358	274	489
359	274	488
360	275	487
361	276	487
362	277	486
363	277	485
364	278	484
365	279	483
366	280	483
367	280	482
368	281	481
369	282	481
370	283	480
371	284	479
372	284	478
373	285	477
374	286	477
375	286	476
376	287	475
377	288	474
378	289	473
379	290	473
380	290	472
381	291	471
382	292	470
383	292	469
384	293	469
385	294	468
386	295	467
387	296	467
388	297	466
389	298	466
390	298	465
391	299	464
392	300	464
393	301	463
394	301	462
395	302	461
396	303	460
397	303	459
398	304	458
399	305	458
400	306	457
401	307	456
402	307	455
403	308	455
404	309	454
405	309	453
406	310	452
407	311	451
408	312	451
409	313	450
410	313	449
411	314	448
412	315	448
413	315	447
414	316	446
415	317	445
416	318	444
417	319	444
418	319	443
419	320	442
420	321	441
421	321	440
422	322	439
423	323	438
424	323	437
425	324	437
426	341	457
427	341	456
428	342	455
429	343	455
430	343	454
431	344	453
432	345	452
433	346	451
434	347	451
435	348	450
436	348	449
437	349	448
438	350	447
439	350	446
440	351	445
441	352	444
442	353	443
443	353	443
444	354	442
445	355	441
446	356	440
447	357	439
448	357	438
449	358	438
450	359	437
451	359	436
452	360	435
453	361	434
454	362	433
455	362	432
456	363	431
457	364	431
458	365	430
459	365	429
460	366	428
461	367	427
462	368	426
463	368	426
464	369	425
465	370	424
466	371	423
467	372	423
468	373	422
469	373	421
470	374	420
471	375	419
472	376	419
473	376	418
474	377	417
475	378	416
476	379	415
477	380	415
478	380	414
479	381	413
480	382	412
481	383	412
482	384	411
483	385	411
484	386	410
485	387	409
486	387	408
487	388	407
488	389	407
489	390	406
490	391	405
491	392	404
492	392	404
493	393	403
494	394	402
495	395	401
496	396	400
497	396	400
498	397	399
499	398	398
500	399	397
501	400	396
502	400	396
503	401	395
504	402	394
505	403	393
506	403	392
507	404	392
508	405	391
509	406	390
510	407	389
511	407	388
512	408	388
513	409	387
514	410	386
515	411	385
516	411	384
517	412	383
518	413	382
519	413	382
520	414	381
521	415	380
522	416	379
523	416	378
524	417	377
525	418	376
526	418	375
527	419	375
528	420	374
529	421	373
530	421	372
531	422	371
532	423	370
533	424	370
534	424	369
535	425	368
536	426	367
537	426	366
538	427	365
539	428	365
540	429	364
541	429	363
542	430	362
543	431	361
544	432	360
545	432	359
546	433	359
547	434	358
548	435	357
549	435	356
550	436	355
551	437	355
552	438	354
553	438	353
554	439	352
555	440	351
556	441	351
557	442	350
558	442	349
559	443	348
560	444	347
561	445	346
562	445	345
563	446	345
564	447	344
565	448	343
566	448	342
567	449	341
568	450	341
569	450	340
570	451	339
571	452	338
572	453	337
573	454	337
574	455	336
575	455	335
576	456	334
577	457	333
578	458	333
579	458	332
580	459	331
581	460	330
582	461	329
583	462	329
584	462	328
585	463	327
586	464	326
587	464	325
588	465	324
589	466	324
590	467	323
591	467	322
592	468	321
593	469	320
594	470	319
595	470	319
596	471	318
597	472	317
598	473	316
599	473	315
600	474	315
601	475	314
602	476	313
603	476	312
604	477	311
605	478	310
606	479	310
607	479	309
608	480	308
609	481	307
610	481	306
611	482	305
612	483	305
613	484	304
